"Fast Order","Быстрый заказ"
"Admin Email Template","Админ Email шаблоны"
"By default uses General Store Email [General=>Store Email Addresses=>General Contact]","По умолчанию используется основной email [General=>Store Email Addresses=>General Contact]"
"Controls whether create Magento Order if possible.","Создавать или нет заказ мадженто"
"Create Magento Order","Создать заказ"
"If select more, than one option, on frontend will be shown select-box with selected phone codes","Если выбрано более одной опции, на фроненде будет показан выпадающий список с выбранными кодами телефонов"
"Fast Order General Settings","Основные настройки Быстрого заказа"
"Send Email with order info","Отсылать email c информацией о заказе"
"Code","Код"
"Manager will call you, knows all details and will help place your order.","Менеджер Вам перезвонит, со всеми детялами заказа и поможет Вам с созданием заказ."
"Place Order","Заказать"
"Comment:","Коментарии:"
"Add comment","Добавить коментарий"
"phone number","номер телефона"
"Submit Order...","Создать заказ..."
"Your order # is: %s. Manager will call you to %s","Ваш заказ # : %s. Менеджер перезвонит Вам по %s"
"Phone","Телефон"
"Fast Order","Быстрый заказ"
"Fast Order Admin Email template","Шаблон админ email быстрого заказа"
"View Magento Order","Просмотреть заказ"
"Email Address","Email адрес"
"Order Now","Заказать сейчас"
"Change standard One Page Checkout","Изменить стандартную страницу чекаута"
"If yes, than standard One Page Checkout will be replaced by Fast Order","Если да, то стандартный чекаут будет заменен Бысрым Заказом"
"Fast Order Checkout Settings","Настройки чекаута быстрого заказа"
"Total items","Всего товаров"
